diff_n_comp,res,z
4,0.010576308276889549,['00521']
4,0.012471439010592257,['00522']
4,0.007624122331964307,['00523']
3,0.008677889131460628,['00524']
4,0.006996889024930765,['00525']
3,0.01418252024252592,['00530']
3,0.005368571670397353,['00531']
3,0.0060801203565471655,['00532']
3,0.003996507513358294,['00533']
2,0.00431635108298442,['00534']
3,0.003874473369475699,['00535']
4,0.018955329127252726,['00540']
4,0.006627601390605742,['00541']
4,0.007826387762319906,['00542']
4,0.004710976847862906,['00543']
3,0.005338670112065805,['00544']
4,0.0044116356532071365,['00545']
4,0.00859439314409096,['00550']
4,0.004499555986357004,['00551']
4,0.004746157635359872,['00552']
4,0.0037032242723324072,['00553']
3,0.003799815845912522,['00554']
4,0.003802823281314393,['00555']
5,0.7418764220217756,['01000']
5,0.7244857606114888,['01001']
5,0.735544924728678,['01002']
5,0.7224398332118143,['01003']
4,0.7165452264420558,['01004']
5,0.7283266341297499,['01005']
5,0.7202294701095733,['01010']
5,0.7059239271128169,['01011']
5,0.7060598541048273,['01012']
5,0.6924716194134424,['01013']
4,0.6994070408993277,['01014']
5,0.6762718111881563,['01015']
5,0.7182223591427244,['01020']
5,0.7100478222074322,['01021']
5,0.7138495766925954,['01022']
5,0.7011587562587014,['01023']
4,0.7065625318052957,['01024']
5,0.6993203965902387,['01025']
4,0.7072478877890582,['01030']
4,0.6950197226520816,['01031']
4,0.6825692401598251,['01032']
4,0.6715439841566271,['01033']
3,0.6848265466748766,['01034']
4,0.6709028403214427,['01035']
5,0.7250385900151953,['01040']
5,0.7039570713389794,['01041']
5,0.7109959645135292,['01042']
5,0.6747341690632431,['01043']
4,0.693506342774636,['01044']
5,0.6824921620741768,['01045']
5,0.6950636387291037,['01050']
5,0.6671913346306203,['01051']
5,0.6698414866993743,['01052']
5,0.6740076218515209,['01053']
4,0.6663393341558003,['01054']
5,0.682124291285699,['01055']
5,0.3954915661425942,['01100']
5,0.34938569737854963,['01101']
5,0.3592217834037734,['01102']
5,0.3419595410598742,['01103']
4,0.35138279964654434,['01104']
5,0.3375701588623701,['01105']
5,0.26569209063345345,['01110']
5,0.14493575887007543,['01111']
5,0.16154057342644515,['01112']
5,0.11029375369702206,['01113']
4,0.12143414488711884,['01114']
5,0.10646676407603504,['01115']
5,0.3144898008964411,['01120']
5,0.17699541188208395,['01121']
5,0.20259058751735562,['01122']
5,0.1337605733563242,['01123']
4,0.1479978498305448,['01124']
5,0.1264968896913086,['01125']
4,0.23711557307858702,['01130']
4,0.09616883984190393,['01131']
4,0.111124297955267,['01132']
4,0.07509680147736957,['01133']
3,0.08036821867779115,['01134']
4,0.07201434234868068,['01135']
5,0.2806819138825258,['01140']
5,0.11607016503260406,['01141']
5,0.1383120191203225,['01142']
5,0.08557180031083528,['01143']
4,0.09746204100476415,['01144']
5,0.08097084680104934,['01145']
5,0.16417646664929947,['01150']
5,0.08750111156313947,['01151']
5,0.09216365972130318,['01152']
