diff_n_comp,res,z
4,0.5689745276282391,['01254']
5,0.5457631891025715,['01255']
5,0.09451724545130587,['01300']
5,0.11346096309994418,['01301']
5,0.11942113100459999,['01302']
5,0.130338664742374,['01303']
4,0.12445101166113828,['01304']
5,0.13076038153928532,['01305']
5,0.24117423541368346,['01310']
5,0.5977468429030819,['01311']
5,0.5670881526368308,['01312']
5,0.6891920806562448,['01313']
4,0.6754622548256904,['01314']
5,0.6903464781569878,['01315']
5,0.19275281279429182,['01320']
5,0.5741047008140558,['01321']
5,0.5136652825728051,['01322']
5,0.6867187764424977,['01323']
4,0.6546275400618458,['01324']
5,0.6995986733508498,['01325']
4,0.3472016045987366,['01330']
4,0.7351334741034933,['01331']
4,0.7148117386074073,['01332']
4,0.7905401509786051,['01333']
3,0.7815070721697968,['01334']
4,0.786161791771432,['01335']
5,0.2816534551174091,['01340']
5,0.7254370875417006,['01341']
5,0.6860986062418003,['01342']
5,0.7869456714340618,['01343']
4,0.770472822824509,['01344']
5,0.7922980052178811,['01345']
5,0.4048476591540278,['01350']
5,0.7080720355310712,['01351']
5,0.7057839518168707,['01352']
5,0.7615951328347155,['01353']
4,0.7632645219553134,['01354']
5,0.7492126352411635,['01355']
5,0.07295150220911115,['01400']
5,0.09848394539246044,['01401']
5,0.0995422717397781,['01402']
5,0.10279101135116324,['01403']
4,0.10429747815428374,['01404']
5,0.1208502584668131,['01405']
5,0.2135681961458918,['01410']
5,0.5826887533948064,['01411']
5,0.5343928268449603,['01412']
5,0.6885537016642002,['01413']
4,0.6625447970776063,['01414']
5,0.6909242958436544,['01415']
5,0.15484897550065205,['01420']
5,0.5245455354658188,['01421']
5,0.46092803149606537,['01422']
5,0.6599287490782629,['01423']
4,0.6161812690479488,['01424']
5,0.6841086560842159,['01425']
4,0.30245334875684393,['01430']
4,0.7366357793225122,['01431']
4,0.7053820774938265,['01432']
4,0.7993165306348632,['01433']
3,0.786244423910761,['01434']
4,0.7996081750072022,['01435']
5,0.22824071408755908,['01440']
5,0.7052455016212046,['01441']
5,0.6566337878363472,['01442']
5,0.7881625322732855,['01443']
4,0.7641292791229453,['01444']
5,0.7976958051463721,['01445']
5,0.41440204137502146,['01450']
5,0.7265866440722479,['01451']
