exp,att,solver,hyp,comb,flag,diff
3,attr,MCTS,MCTS_E,3,mean,5.1
3,attr,MCTS,MCTS_F,3,mean,5.9
3,attr,MCTS,MCTS_A,4,mean,2.6
3,attr,MCTS,MCTS_B,4,mean,2.8
3,attr,MCTS,MCTS_C,4,mean,2.1
3,attr,MCTS,MCTS_D,4,mean,2.5
3,attr,MCTS,MCTS_E,4,mean,2.7
3,attr,MCTS,MCTS_F,4,mean,3.4
3,rep,MCTS,MCTS_A,1,mean,21.3
3,rep,MCTS,MCTS_B,1,mean,22.2
3,rep,MCTS,MCTS_C,1,mean,22.6
3,rep,MCTS,MCTS_D,1,mean,22.5
3,rep,MCTS,MCTS_E,1,mean,21.7
3,rep,MCTS,MCTS_F,1,mean,23.4
3,rep,MCTS,MCTS_A,2,mean,15.9
3,rep,MCTS,MCTS_B,2,mean,17.3
3,rep,MCTS,MCTS_C,2,mean,14.7
3,rep,MCTS,MCTS_D,2,mean,17.4
3,rep,MCTS,MCTS_E,2,mean,17.8
3,rep,MCTS,MCTS_F,2,mean,18.0
3,rep,MCTS,MCTS_A,3,mean,2.3
3,rep,MCTS,MCTS_B,3,mean,1.0
3,rep,MCTS,MCTS_C,3,mean,4.6
3,rep,MCTS,MCTS_D,3,mean,3.0
3,rep,MCTS,MCTS_E,3,mean,2.0
3,rep,MCTS,MCTS_F,3,mean,7.0
3,rep,MCTS,MCTS_A,4,mean,1.9
3,rep,MCTS,MCTS_B,4,mean,1.8
3,rep,MCTS,MCTS_C,4,mean,1.3
3,rep,MCTS,MCTS_D,4,mean,3.4
3,rep,MCTS,MCTS_E,4,mean,2.2
3,rep,MCTS,MCTS_F,4,mean,2.6
3,dd,MCTS,MCTS_A,1,mean,22.8
3,dd,MCTS,MCTS_B,1,mean,22.4
3,dd,MCTS,MCTS_C,1,mean,25.6
3,dd,MCTS,MCTS_D,1,mean,27.0
3,dd,MCTS,MCTS_E,1,mean,22.3
3,dd,MCTS,MCTS_F,1,mean,26.8
3,dd,MCTS,MCTS_A,2,mean,16.8
3,dd,MCTS,MCTS_B,2,mean,16.3
3,dd,MCTS,MCTS_C,2,mean,17.6
3,dd,MCTS,MCTS_D,2,mean,19.9
3,dd,MCTS,MCTS_E,2,mean,15.3
3,dd,MCTS,MCTS_F,2,mean,21.2
3,dd,MCTS,MCTS_A,3,mean,7.1
3,dd,MCTS,MCTS_B,3,mean,3.7
3,dd,MCTS,MCTS_C,3,mean,7.3
3,dd,MCTS,MCTS_D,3,mean,9.1
3,dd,MCTS,MCTS_E,3,mean,3.3
3,dd,MCTS,MCTS_F,3,mean,9.4
3,dd,MCTS,MCTS_A,4,mean,2.0
3,dd,MCTS,MCTS_B,4,mean,3.2
3,dd,MCTS,MCTS_C,4,mean,2.0
3,dd,MCTS,MCTS_D,4,mean,3.6
3,dd,MCTS,MCTS_E,4,mean,2.2
3,dd,MCTS,MCTS_F,4,mean,4.3
3,pd,MCTS,MCTS_A,1,mean,23.8
3,pd,MCTS,MCTS_B,1,mean,22.2
3,pd,MCTS,MCTS_C,1,mean,25.1
3,pd,MCTS,MCTS_D,1,mean,22.0
3,pd,MCTS,MCTS_E,1,mean,24.6
3,pd,MCTS,MCTS_F,1,mean,25.5
3,pd,MCTS,MCTS_A,2,mean,14.5
3,pd,MCTS,MCTS_B,2,mean,14.7
3,pd,MCTS,MCTS_C,2,mean,15.2
3,pd,MCTS,MCTS_D,2,mean,16.5
3,pd,MCTS,MCTS_E,2,mean,13.9
3,pd,MCTS,MCTS_F,2,mean,16.9
3,pd,MCTS,MCTS_A,3,mean,5.2
3,pd,MCTS,MCTS_B,3,mean,4.5
3,pd,MCTS,MCTS_C,3,mean,3.8
3,pd,MCTS,MCTS_D,3,mean,4.5
3,pd,MCTS,MCTS_E,3,mean,4.5
3,pd,MCTS,MCTS_F,3,mean,5.3
3,pd,MCTS,MCTS_A,4,mean,1.5
3,pd,MCTS,MCTS_B,4,mean,0.5
3,pd,MCTS,MCTS_C,4,mean,0.9
3,pd,MCTS,MCTS_D,4,mean,1.5
3,pd,MCTS,MCTS_E,4,mean,0.9
3,pd,MCTS,MCTS_F,4,mean,1.5
3,attr,RME,RME,1,mean,24.9
3,attr,RME,RME,2,mean,20.6
3,attr,RME,RME,3,mean,9.6
3,attr,RME,RME,4,mean,5.8
3,rep,RME,RME,1,mean,24.3
3,rep,RME,RME,2,mean,20.4
3,rep,RME,RME,3,mean,7.1
3,rep,RME,RME,4,mean,5.2
3,dd,RME,RME,1,mean,26.3
3,dd,RME,RME,2,mean,20.6
3,dd,RME,RME,3,mean,8.3
3,dd,RME,RME,4,mean,5.5
3,pd,RME,RME,1,mean,24.4
3,pd,RME,RME,2,mean,20.7
3,pd,RME,RME,3,mean,7.0
3,pd,RME,RME,4,mean,4.6
3,attr,SA,SA_A,1,mean,2.7
3,attr,SA,SA_B,1,mean,9.8
3,attr,SA,SA_C,1,mean,10.3
3,attr,SA,SA_D,1,mean,15.3
3,attr,SA,SA_E,1,mean,5.2
3,attr,SA,SA_F,1,mean,17.4
3,attr,SA,SA_A,2,mean,0.3
3,attr,SA,SA_B,2,mean,10.7
3,attr,SA,SA_C,2,mean,0.6
3,attr,SA,SA_D,2,mean,8.4
3,attr,SA,SA_E,2,mean,6.1
3,attr,SA,SA_F,2,mean,13.5
3,attr,SA,SA_A,3,mean,8.7
3,attr,SA,SA_B,3,mean,3.4
3,attr,SA,SA_C,3,mean,8.6
3,attr,SA,SA_D,3,mean,4.1
3,attr,SA,SA_E,3,mean,3.6
3,attr,SA,SA_F,3,mean,7.2
3,attr,SA,SA_A,4,mean,1.1
3,attr,SA,SA_B,4,mean,1.3
3,attr,SA,SA_C,4,mean,2.3
3,attr,SA,SA_D,4,mean,1.4
3,attr,SA,SA_E,4,mean,1.6
3,attr,SA,SA_F,4,mean,1.6
3,rep,SA,SA_A,1,mean,2.0
3,rep,SA,SA_B,1,mean,4.9
3,rep,SA,SA_C,1,mean,7.4
3,rep,SA,SA_D,1,mean,13.7
3,rep,SA,SA_E,1,mean,6.9
3,rep,SA,SA_F,1,mean,22.1
3,rep,SA,SA_A,2,mean,1.4
3,rep,SA,SA_B,2,mean,6.9
3,rep,SA,SA_C,2,mean,2.6
3,rep,SA,SA_D,2,mean,14.2
3,rep,SA,SA_E,2,mean,4.6
3,rep,SA,SA_F,2,mean,16.4
3,rep,SA,SA_A,3,mean,6.8
3,rep,SA,SA_B,3,mean,1.4
3,rep,SA,SA_C,3,mean,6.8
3,rep,SA,SA_D,3,mean,2.5
3,rep,SA,SA_E,3,mean,1.1
3,rep,SA,SA_F,3,mean,3.2
3,rep,SA,SA_A,4,mean,1.0
3,rep,SA,SA_B,4,mean,1.0
3,rep,SA,SA_C,4,mean,2.2
3,rep,SA,SA_D,4,mean,1.0
3,rep,SA,SA_E,4,mean,1.0
3,rep,SA,SA_F,4,mean,1.0
3,dd,SA,SA_A,1,mean,1.3
3,dd,SA,SA_B,1,mean,13.6
3,dd,SA,SA_C,1,mean,22.5
3,dd,SA,SA_D,1,mean,25.6
3,dd,SA,SA_E,1,mean,8.8
3,dd,SA,SA_F,1,mean,25.9
3,dd,SA,SA_A,2,mean,1.1
3,dd,SA,SA_B,2,mean,15.2
3,dd,SA,SA_C,2,mean,10.6
3,dd,SA,SA_D,2,mean,19.2
3,dd,SA,SA_E,2,mean,9.8
3,dd,SA,SA_F,2,mean,21.7
3,dd,SA,SA_A,3,mean,6.3
3,dd,SA,SA_B,3,mean,2.9
3,dd,SA,SA_C,3,mean,8.8
3,dd,SA,SA_D,3,mean,9.1
3,dd,SA,SA_E,3,mean,2.1
3,dd,SA,SA_F,3,mean,9.1
3,dd,SA,SA_A,4,mean,1.0
3,dd,SA,SA_B,4,mean,1.0
3,dd,SA,SA_C,4,mean,3.7
3,dd,SA,SA_D,4,mean,1.9
3,dd,SA,SA_E,4,mean,1.0
3,dd,SA,SA_F,4,mean,5.0
3,pd,SA,SA_A,1,mean,21.4
3,pd,SA,SA_B,1,mean,16.0
3,pd,SA,SA_C,1,mean,19.6
3,pd,SA,SA_D,1,mean,0.8
3,pd,SA,SA_E,1,mean,20.3
3,pd,SA,SA_F,1,mean,22.8
3,pd,SA,SA_A,2,mean,0.5
3,pd,SA,SA_B,2,mean,3.1
3,pd,SA,SA_C,2,mean,6.0
3,pd,SA,SA_D,2,mean,3.3
3,pd,SA,SA_E,2,mean,6.9
3,pd,SA,SA_F,2,mean,8.6
3,pd,SA,SA_A,3,mean,8.2
3,pd,SA,SA_B,3,mean,3.6
3,pd,SA,SA_C,3,mean,8.3
3,pd,SA,SA_D,3,mean,3.7
3,pd,SA,SA_E,3,mean,4.4
3,pd,SA,SA_F,3,mean,5.3
3,pd,SA,SA_A,4,mean,0.0
3,pd,SA,SA_B,4,mean,0.0
3,pd,SA,SA_C,4,mean,2.1
3,pd,SA,SA_D,4,mean,0.0
3,pd,SA,SA_E,4,mean,0.0
3,pd,SA,SA_F,4,mean,0.0
