z,t,k,N1,N2,utl1,utl2
['01141'],3,100,10000,5000,1.4046926700476245,1.0
['01142'],3,100,10000,5000,1.4335928688749768,1.0
['01143'],3,100,10000,5000,1.2970884463634003,1.0
['01144'],3,100,10000,5000,1.3198346770621925,2.0
['01145'],3,100,10000,5000,1.2874645415656547,1.0
['01150'],3,100,10000,5000,1.968838932500763,1.0
['01151'],3,100,10000,5000,1.4108723846088496,1.0
['01152'],3,100,10000,5000,1.419059537473197,1.0
['01153'],3,100,10000,5000,1.3195485703900254,1.0
['01154'],3,100,10000,5000,1.3238403303398052,2.0
['01155'],3,100,10000,5000,1.3455338427701429,1.0
['01200'],3,100,10000,5000,3.5061316753782763,1.0
['01201'],3,100,10000,5000,3.257616142480624,1.0
['01202'],3,100,10000,5000,3.272704862708284,1.0
['01203'],3,100,10000,5000,3.16903746388811,1.0
['01204'],3,100,10000,5000,3.2218721252418194,2.0
['01205'],3,100,10000,5000,3.108563854374336,1.0
['01210'],3,100,10000,5000,2.463577934077705,1.0
['01211'],3,100,10000,5000,1.6301817943388608,1.0
['01212'],3,100,10000,5000,1.6791475218611038,1.0
['01213'],3,100,10000,5000,1.4571704689867413,1.0
['01214'],3,100,10000,5000,1.4881040282386038,2.0
['01215'],3,100,10000,5000,1.4526256006577587,1.0
['01220'],3,100,10000,5000,2.674237086118789,1.0
['01221'],3,100,10000,5000,1.6967463444044573,1.0
['01222'],3,100,10000,5000,1.8057833009463438,1.0
['01223'],3,100,10000,5000,1.5156588658648975,1.0
['01224'],3,100,10000,5000,1.558681201312005,2.0
['01225'],3,100,10000,5000,1.4866147915981105,1.0
['01230'],3,100,10000,5000,2.150424176604068,2.0
['01231'],3,100,10000,5000,1.3849819850088183,2.0
['01232'],3,100,10000,5000,1.4276876866861847,2.0
['01233'],3,100,10000,5000,1.2910255816120941,2.0
['01234'],3,100,10000,5000,1.301438690529662,3.0
['01235'],3,100,10000,5000,1.2866345342597525,2.0
['01240'],3,100,10000,5000,2.3491194269639015,1.0
['01241'],3,100,10000,5000,1.4272302995169353,1.0
['01242'],3,100,10000,5000,1.5075748490556262,1.0
['01243'],3,100,10000,5000,1.3071690788169639,1.0
['01244'],3,100,10000,5000,1.342326386823483,2.0
['01245'],3,100,10000,5000,1.2960367702136084,1.0
['01250'],3,100,10000,5000,1.9846150526870958,1.0
['01251'],3,100,10000,5000,1.393163824149594,1.0
['01252'],3,100,10000,5000,1.413539461402885,1.0
['01253'],3,100,10000,5000,1.3078241497072238,1.0
['01254'],3,100,10000,5000,1.3107139526038238,2.0
['01255'],3,100,10000,5000,1.3241917446734097,1.0
['01300'],3,100,10000,5000,2.611089927825227,1.0
['01301'],3,100,10000,5000,2.4401050297583264,1.0
['01302'],3,100,10000,5000,2.437491624298039,1.0
['01303'],3,100,10000,5000,2.399393769324004,1.0
['01304'],3,100,10000,5000,2.4089737001909315,2.0
['01305'],3,100,10000,5000,2.3499536693832432,1.0
['01310'],3,100,10000,5000,1.8261998077348118,1.0
['01311'],3,100,10000,5000,1.278327288559957,1.0
['01312'],3,100,10000,5000,1.2998853006940643,1.0
['01313'],3,100,10000,5000,1.1889236304330248,1.0
['01314'],3,100,10000,5000,1.1964717582120592,2.0
['01315'],3,100,10000,5000,1.1902121379492714,1.0
['01320'],3,100,10000,5000,1.96187811233898,1.0
['01321'],3,100,10000,5000,1.2871949523885817,1.0
['01322'],3,100,10000,5000,1.3406917394858169,1.0
['01323'],3,100,10000,5000,1.188324531213289,1.0
['01324'],3,100,10000,5000,1.2069487342352192,2.0
['01325'],3,100,10000,5000,1.1789871927563396,1.0
['01330'],3,100,10000,5000,1.6290571655663444,2.0
['01331'],3,100,10000,5000,1.1547768793075792,2.0
['01332'],3,100,10000,5000,1.1682130652494132,2.0
['01333'],3,100,10000,5000,1.1150042124273416,2.0
['01334'],3,100,10000,5000,1.1171723864225542,3.0
['01335'],3,100,10000,5000,1.1123317425483625,2.0
['01340'],3,100,10000,5000,1.7224204353711556,1.0
