ratio,res,res_std_plus,res_std_minus,z_star_arr
3.9000000000000004,8.106579730554865,8.21304291820776,8.000116542901969,['00000']
4.0,8.222140594645643,8.32839811115674,8.115883078134544,['00000']
4.1,8.221560470393243,8.328091491715735,8.11502944907075,['00000']
4.2,8.239643334402217,8.343979663804504,8.13530700499993,['00000']
4.3,8.206096270707052,8.311998436520016,8.100194104894088,['00000']
4.3999999999999995,8.225736569015012,8.331301781042658,8.120171356987367,['00000']
4.5,8.171780311354112,8.27793028684913,8.065630335859094,['00000']
4.6,8.263403438663312,8.368611564738023,8.158195312588601,['00000']
4.7,8.156584889602772,8.263190920074972,8.049978859130572,['00000']
4.8,8.154592888028379,8.26106641456672,8.048119361490038,['00000']
4.9,8.147289536747474,8.254167163444064,8.040411910050883,['00000']
5.0,8.147506530150613,8.253591369283376,8.04142169101785,['00000']
5.1,8.167696728339768,8.273733406887256,8.06166004979228,['00000']
5.2,8.155538475333914,8.262774299003357,8.048302651664471,['00000']
5.3,8.198462679658135,8.304029834003893,8.092895525312377,['00000']
5.4,8.106820826002828,8.213822509883851,7.9998191421218054,['00000']
5.5,8.133368613706795,8.24024121248718,8.02649601492641,['00000']
5.6,8.230508113973725,8.335716779848482,8.125299448098968,['00000']
5.7,8.161272536713481,8.267752129880073,8.05479294354689,['00000']
5.8,8.195268826262403,8.301268916991933,8.089268735532873,['00000']
5.9,8.19492699018503,8.300038936229056,8.089815044141003,['00000']
6.0,7.978925245114912,8.087640126678924,7.870210363550901,['00000']
6.1,8.15454743981992,8.260581329223175,8.048513550416665,['00000']
6.2,8.192791600462114,8.298794210872973,8.086788990051254,['00000']
6.3,8.235254576412867,8.340209325642913,8.13029982718282,['00000']
6.4,8.229335953109459,8.334640145863196,8.124031760355722,['00000']
6.5,8.180955023508302,8.287980895505237,8.073929151511367,['00000']
6.6,8.153112454298226,8.25946606808916,8.046758840507291,['00000']
6.7,8.195824094578157,8.301459557949238,8.090188631207075,['00000']
6.8,8.126691118086597,8.232128090847329,8.021254145325866,['00000']
6.9,8.110825707612674,8.217775504956986,8.003875910268363,['00000']
7.0,8.106515771250063,8.213734850219593,7.9992966922805335,['00000']
