ratio,res,res_std_plus,res_std_minus,z_star_arr
7.550000000000002,0.28440000000000004,0.29936618054147424,0.26943381945852585,['50005']
7.650000000000001,0.2776,0.2919301416601512,0.26326985833984884,['50005']
7.750000000000001,0.30600000000000005,0.32090825274805873,0.29109174725194137,['50005']
7.850000000000001,0.28820000000000007,0.30295408553587794,0.2734459144641222,['50005']
7.950000000000001,0.29460000000000003,0.3094984348171209,0.27970156518287914,['50005']
8.050000000000002,0.29980000000000007,0.3147986612735938,0.28480133872640634,['50005']
8.150000000000002,0.2776,0.29159117436100346,0.26360882563899657,['50005']
8.250000000000002,0.2858,0.30104707972039235,0.27055292027960764,['50005']
8.350000000000003,0.28520000000000006,0.2997135743357728,0.27068642566422735,['50005']
8.450000000000003,0.2958,0.31133091883952785,0.28026908116047217,['50005']
8.550000000000002,0.2858,0.3004803760169827,0.2711196239830173,['50005']
