exp,att,solver,hyp,comb,flag,diff
2,dd,SA,SA_D,3,mean,15.8
2,dd,SA,SA_E,3,mean,3.7
2,dd,SA,SA_F,3,mean,16.2
2,dd,SA,SA_A,4,mean,7.7
2,dd,SA,SA_B,4,mean,3.7
2,dd,SA,SA_C,4,mean,17.7
2,dd,SA,SA_D,4,mean,18.3
2,dd,SA,SA_E,4,mean,5.2
2,dd,SA,SA_F,4,mean,19.1
2,pd,SA,SA_A,1,mean,9.0
2,pd,SA,SA_B,1,mean,1.9
2,pd,SA,SA_C,1,mean,9.1
2,pd,SA,SA_D,1,mean,3.8
2,pd,SA,SA_E,1,mean,6.7
2,pd,SA,SA_F,1,mean,5.2
2,pd,SA,SA_A,2,mean,8.2
2,pd,SA,SA_B,2,mean,2.8
2,pd,SA,SA_C,2,mean,10.3
2,pd,SA,SA_D,2,mean,5.9
2,pd,SA,SA_E,2,mean,3.8
2,pd,SA,SA_F,2,mean,7.9
2,pd,SA,SA_A,3,mean,8.4
2,pd,SA,SA_B,3,mean,1.8
2,pd,SA,SA_C,3,mean,8.9
2,pd,SA,SA_D,3,mean,0.9
2,pd,SA,SA_E,3,mean,6.1
2,pd,SA,SA_F,3,mean,7.0
2,pd,SA,SA_A,4,mean,6.1
2,pd,SA,SA_B,4,mean,2.9
2,pd,SA,SA_C,4,mean,9.0
2,pd,SA,SA_D,4,mean,2.9
2,pd,SA,SA_E,4,mean,4.4
2,pd,SA,SA_F,4,mean,7.4
