solver,time,attacker,|Q|,|X|,|T|,rho,k,EU,Lower,Upper
SA_D,870,att,10,30,10,0.95,10000,8.831350018074634,6.5344872979475594,11.128212738201707
SA_D,885,att,10,30,10,0.95,10000,8.831350018074634,6.5344872979475594,11.128212738201707
SA_D,900,att,10,30,10,0.95,10000,8.831350018074634,6.5344872979475594,11.128212738201707
SA_D,915,att,10,30,10,0.95,10000,8.831350018074634,6.5344872979475594,11.128212738201707
SA_D,930,att,10,30,10,0.95,10000,8.831350018074634,6.5344872979475594,11.128212738201707
SA_D,945,att,10,30,10,0.95,10000,8.831350018074634,6.5344872979475594,11.128212738201707
SA_D,960,att,10,30,10,0.95,10000,8.831350018074634,6.5344872979475594,11.128212738201707
SA_D,975,att,10,30,10,0.95,10000,8.831350018074634,6.5344872979475594,11.128212738201707
SA_D,990,att,10,30,10,0.95,10000,8.831350018074634,6.5344872979475594,11.128212738201707
SA_D,1005,att,10,30,10,0.95,10000,8.831350018074634,6.5344872979475594,11.128212738201707
SA_D,1020,att,10,30,10,0.95,10000,8.831350018074634,6.5344872979475594,11.128212738201707
SA_D,1035,att,10,30,10,0.95,10000,8.831350018074634,6.5344872979475594,11.128212738201707
SA_D,1050,att,10,30,10,0.95,10000,8.831350018074634,6.5344872979475594,11.128212738201707
SA_D,1065,att,10,30,10,0.95,10000,8.831350018074634,6.5344872979475594,11.128212738201707
SA_D,1080,att,10,30,10,0.95,10000,8.831350018074634,6.5344872979475594,11.128212738201707
SA_D,1095,att,10,30,10,0.95,10000,8.831350018074634,6.5344872979475594,11.128212738201707
SA_D,1110,att,10,30,10,0.95,10000,8.831350018074634,6.5344872979475594,11.128212738201707
SA_D,1125,att,10,30,10,0.95,10000,8.831350018074634,6.5344872979475594,11.128212738201707
SA_D,1140,att,10,30,10,0.95,10000,8.831350018074634,6.5344872979475594,11.128212738201707
SA_D,1155,att,10,30,10,0.95,10000,8.831350018074634,6.5344872979475594,11.128212738201707
SA_D,1170,att,10,30,10,0.95,10000,8.831350018074634,6.5344872979475594,11.128212738201707
SA_D,1185,att,10,30,10,0.95,10000,8.831350018074634,6.5344872979475594,11.128212738201707
SA_D,1200,att,10,30,10,0.95,10000,8.831350018074634,6.5344872979475594,11.128212738201707
SA_D,15,att,30,10,10,0.95,10000,-5.6040846429906335,-6.689226123174893,-4.518943162806374
SA_D,30,att,30,10,10,0.95,10000,-3.35742955440132,-5.730557645908517,-0.9843014628941238
SA_D,45,att,30,10,10,0.95,10000,-1.4036866219194233,-5.3311831018676195,2.5238098580287733
SA_D,60,att,30,10,10,0.95,10000,-0.1823204028503937,-3.2167107430489916,2.852069937348204
SA_D,75,att,30,10,10,0.95,10000,0.7151950626642897,-0.7842436427107188,2.214633768039298
SA_D,90,att,30,10,10,0.95,10000,0.9042004612375407,-0.5728498375650155,2.381250760040097
SA_D,105,att,30,10,10,0.95,10000,1.0166315964129597,-0.23282231894923822,2.2660855117751577
SA_D,120,att,30,10,10,0.95,10000,1.018924225540071,-0.23205930268121278,2.2699077537613546
SA_D,135,att,30,10,10,0.95,10000,1.1165066550644227,0.4825708678977869,1.7504424422310585
SA_D,150,att,30,10,10,0.95,10000,1.1544723281882991,0.7507437111932718,1.5582009451833265
SA_D,165,att,30,10,10,0.95,10000,1.1559680664155916,0.7512641867310026,1.5606719461001806
SA_D,180,att,30,10,10,0.95,10000,1.215992334029346,1.1851484557263814,1.2468362123323105
SA_D,195,att,30,10,10,0.95,10000,1.221045468056353,1.2155646431675133,1.2265262929451926
SA_D,210,att,30,10,10,0.95,10000,1.221045468056353,1.2155646431675133,1.2265262929451926
SA_D,225,att,30,10,10,0.95,10000,1.221045468056353,1.2155646431675133,1.2265262929451926
SA_D,240,att,30,10,10,0.95,10000,1.221045468056353,1.2155646431675133,1.2265262929451926
SA_D,255,att,30,10,10,0.95,10000,1.2217768965267488,1.2156112569555255,1.227942536097972
SA_D,270,att,30,10,10,0.95,10000,1.2224629020954723,1.2154350064637025,1.229490797727242
SA_D,285,att,30,10,10,0.95,10000,1.2229200142201697,1.2178446930011013,1.2279953354392381
SA_D,300,att,30,10,10,0.95,10000,1.223297127026735,1.2186397457473424,1.2279545083061276
SA_D,315,att,30,10,10,0.95,10000,1.223297127026735,1.2186397457473424,1.2279545083061276
SA_D,330,att,30,10,10,0.95,10000,1.223297127026735,1.2186397457473424,1.2279545083061276
SA_D,345,att,30,10,10,0.95,10000,1.223297127026735,1.2186397457473424,1.2279545083061276
SA_D,360,att,30,10,10,0.95,10000,1.223297127026735,1.2186397457473424,1.2279545083061276
SA_D,375,att,30,10,10,0.95,10000,1.223297127026735,1.2186397457473424,1.2279545083061276
SA_D,390,att,30,10,10,0.95,10000,1.223297127026735,1.2186397457473424,1.2279545083061276
SA_D,405,att,30,10,10,0.95,10000,1.223297127026735,1.2186397457473424,1.2279545083061276
SA_D,420,att,30,10,10,0.95,10000,1.223297127026735,1.2186397457473424,1.2279545083061276
SA_D,435,att,30,10,10,0.95,10000,1.2237757822845345,1.2202405761807145,1.2273109883883546
SA_D,450,att,30,10,10,0.95,10000,1.2237757822845345,1.2202405761807145,1.2273109883883546
SA_D,465,att,30,10,10,0.95,10000,1.2237757822845345,1.2202405761807145,1.2273109883883546
SA_D,480,att,30,10,10,0.95,10000,1.2237757822845345,1.2202405761807145,1.2273109883883546
SA_D,495,att,30,10,10,0.95,10000,1.2237757822845345,1.2202405761807145,1.2273109883883546
SA_D,510,att,30,10,10,0.95,10000,1.2237757822845345,1.2202405761807145,1.2273109883883546
SA_D,525,att,30,10,10,0.95,10000,1.2237757822845345,1.2202405761807145,1.2273109883883546
SA_D,540,att,30,10,10,0.95,10000,1.2237757822845345,1.2202405761807145,1.2273109883883546
SA_D,555,att,30,10,10,0.95,10000,1.2237757822845345,1.2202405761807145,1.2273109883883546
SA_D,570,att,30,10,10,0.95,10000,1.2241224842558487,1.2202856684097678,1.2279593001019296
SA_D,585,att,30,10,10,0.95,10000,1.2241224842558487,1.2202856684097678,1.2279593001019296
SA_D,600,att,30,10,10,0.95,10000,1.2241224842558487,1.2202856684097678,1.2279593001019296
SA_D,615,att,30,10,10,0.95,10000,1.2241224842558487,1.2202856684097678,1.2279593001019296
SA_D,630,att,30,10,10,0.95,10000,1.2241224842558487,1.2202856684097678,1.2279593001019296
SA_D,645,att,30,10,10,0.95,10000,1.2241224842558487,1.2202856684097678,1.2279593001019296
SA_D,660,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,675,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,690,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,705,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,720,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,735,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,750,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,765,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,780,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,795,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,810,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,825,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,840,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,855,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,870,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,885,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,900,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,915,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,930,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,945,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,960,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,975,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,990,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,1005,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,1020,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,1035,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,1050,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,1065,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,1080,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,1095,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,1110,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,1125,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,1140,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,1155,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,1170,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,1185,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,1200,att,30,10,10,0.95,10000,1.2242034695106305,1.2201259720064934,1.2282809670147676
SA_D,15,dd,30,30,30,0.95,10000,-23.836725260029393,-28.108280337707747,-19.56517018235104
SA_D,30,dd,30,30,30,0.95,10000,-22.803924263381333,-27.592920735174857,-18.01492779158781
SA_D,45,dd,30,30,30,0.95,10000,-22.499317906726084,-26.839906734204177,-18.15872907924799
SA_D,60,dd,30,30,30,0.95,10000,-22.07138346198174,-26.178241948971184,-17.964524974992294
SA_D,75,dd,30,30,30,0.95,10000,-22.039208595828903,-26.053258819876643,-18.025158371781163
SA_D,90,dd,30,30,30,0.95,10000,-21.770927579607488,-25.289513437012793,-18.252341722202182
SA_D,105,dd,30,30,30,0.95,10000,-21.626305751652716,-24.736061942504797,-18.516549560800634
SA_D,120,dd,30,30,30,0.95,10000,-21.60027575121326,-24.659773597907765,-18.540777904518755
SA_D,135,dd,30,30,30,0.95,10000,-21.60027575121326,-24.659773597907765,-18.540777904518755
SA_D,150,dd,30,30,30,0.95,10000,-21.398415459469405,-24.270900070205506,-18.525930848733303
SA_D,165,dd,30,30,30,0.95,10000,-21.398415459469405,-24.270900070205506,-18.525930848733303
SA_D,180,dd,30,30,30,0.95,10000,-21.31883804848433,-24.019337455512282,-18.61833864145638
SA_D,195,dd,30,30,30,0.95,10000,-21.31883804848433,-24.019337455512282,-18.61833864145638
SA_D,210,dd,30,30,30,0.95,10000,-21.31883804848433,-24.019337455512282,-18.61833864145638
SA_D,225,dd,30,30,30,0.95,10000,-21.318133412117696,-24.01689137250175,-18.619375451733642
SA_D,240,dd,30,30,30,0.95,10000,-21.318133412117696,-24.01689137250175,-18.619375451733642
SA_D,255,dd,30,30,30,0.95,10000,-21.318133412117696,-24.01689137250175,-18.619375451733642
SA_D,270,dd,30,30,30,0.95,10000,-21.318133412117696,-24.01689137250175,-18.619375451733642
SA_D,285,dd,30,30,30,0.95,10000,-21.23716828737218,-23.90550105116502,-18.56883552357934
SA_D,300,dd,30,30,30,0.95,10000,-21.23716828737218,-23.90550105116502,-18.56883552357934
SA_D,315,dd,30,30,30,0.95,10000,-21.23716828737218,-23.90550105116502,-18.56883552357934
SA_D,330,dd,30,30,30,0.95,10000,-21.23716828737218,-23.90550105116502,-18.56883552357934
SA_D,345,dd,30,30,30,0.95,10000,-21.23716828737218,-23.90550105116502,-18.56883552357934
SA_D,360,dd,30,30,30,0.95,10000,-21.23716828737218,-23.90550105116502,-18.56883552357934
SA_D,375,dd,30,30,30,0.95,10000,-21.23716828737218,-23.90550105116502,-18.56883552357934
SA_D,390,dd,30,30,30,0.95,10000,-21.23716828737218,-23.90550105116502,-18.56883552357934
SA_D,405,dd,30,30,30,0.95,10000,-21.23716828737218,-23.90550105116502,-18.56883552357934
SA_D,420,dd,30,30,30,0.95,10000,-21.23716828737218,-23.90550105116502,-18.56883552357934
SA_D,435,dd,30,30,30,0.95,10000,-21.20332866530673,-23.80673301112549,-18.59992431948797
SA_D,450,dd,30,30,30,0.95,10000,-21.20332866530673,-23.80673301112549,-18.59992431948797
SA_D,465,dd,30,30,30,0.95,10000,-20.893045889822517,-23.70555978943647,-18.080531990208563
SA_D,480,dd,30,30,30,0.95,10000,-20.893045889822517,-23.70555978943647,-18.080531990208563
SA_D,495,dd,30,30,30,0.95,10000,-20.893045889822517,-23.70555978943647,-18.080531990208563
SA_D,510,dd,30,30,30,0.95,10000,-20.893045889822517,-23.70555978943647,-18.080531990208563
SA_D,525,dd,30,30,30,0.95,10000,-20.893045889822517,-23.70555978943647,-18.080531990208563
SA_D,540,dd,30,30,30,0.95,10000,-20.893045889822517,-23.70555978943647,-18.080531990208563
SA_D,555,dd,30,30,30,0.95,10000,-20.893045889822517,-23.70555978943647,-18.080531990208563
SA_D,570,dd,30,30,30,0.95,10000,-20.893045889822517,-23.70555978943647,-18.080531990208563
SA_D,585,dd,30,30,30,0.95,10000,-20.762589355215134,-23.50129651573841,-18.023882194691858
SA_D,600,dd,30,30,30,0.95,10000,-20.762589355215134,-23.50129651573841,-18.023882194691858
SA_D,615,dd,30,30,30,0.95,10000,-20.762589355215134,-23.50129651573841,-18.023882194691858
SA_D,630,dd,30,30,30,0.95,10000,-20.45918086560342,-22.834983016103553,-18.08337871510329
SA_D,645,dd,30,30,30,0.95,10000,-20.37850473852877,-22.517055330320588,-18.23995414673695
SA_D,660,dd,30,30,30,0.95,10000,-20.37850473852877,-22.517055330320588,-18.23995414673695
SA_D,675,dd,30,30,30,0.95,10000,-20.37850473852877,-22.517055330320588,-18.23995414673695
SA_D,690,dd,30,30,30,0.95,10000,-20.37850473852877,-22.517055330320588,-18.23995414673695
SA_D,705,dd,30,30,30,0.95,10000,-20.37850473852877,-22.517055330320588,-18.23995414673695
SA_D,720,dd,30,30,30,0.95,10000,-20.37850473852877,-22.517055330320588,-18.23995414673695
SA_D,735,dd,30,30,30,0.95,10000,-20.37850473852877,-22.517055330320588,-18.23995414673695
SA_D,750,dd,30,30,30,0.95,10000,-20.37850473852877,-22.517055330320588,-18.23995414673695
SA_D,765,dd,30,30,30,0.95,10000,-20.37850473852877,-22.517055330320588,-18.23995414673695
SA_D,780,dd,30,30,30,0.95,10000,-20.37850473852877,-22.517055330320588,-18.23995414673695
SA_D,795,dd,30,30,30,0.95,10000,-20.37850473852877,-22.517055330320588,-18.23995414673695
SA_D,810,dd,30,30,30,0.95,10000,-20.37850473852877,-22.517055330320588,-18.23995414673695
SA_D,825,dd,30,30,30,0.95,10000,-20.37850473852877,-22.517055330320588,-18.23995414673695
SA_D,840,dd,30,30,30,0.95,10000,-20.37850473852877,-22.517055330320588,-18.23995414673695
SA_D,855,dd,30,30,30,0.95,10000,-20.37850473852877,-22.517055330320588,-18.23995414673695
SA_D,870,dd,30,30,30,0.95,10000,-20.37850473852877,-22.517055330320588,-18.23995414673695
SA_D,885,dd,30,30,30,0.95,10000,-20.37850473852877,-22.517055330320588,-18.23995414673695
SA_D,900,dd,30,30,30,0.95,10000,-20.37850473852877,-22.517055330320588,-18.23995414673695
SA_D,915,dd,30,30,30,0.95,10000,-20.37850473852877,-22.517055330320588,-18.23995414673695
SA_D,930,dd,30,30,30,0.95,10000,-20.37850473852877,-22.517055330320588,-18.23995414673695
SA_D,945,dd,30,30,30,0.95,10000,-20.37850473852877,-22.517055330320588,-18.23995414673695
SA_D,960,dd,30,30,30,0.95,10000,-20.37850473852877,-22.517055330320588,-18.23995414673695
SA_D,975,dd,30,30,30,0.95,10000,-20.37850473852877,-22.517055330320588,-18.23995414673695
SA_D,990,dd,30,30,30,0.95,10000,-20.37850473852877,-22.517055330320588,-18.23995414673695
SA_D,1005,dd,30,30,30,0.95,10000,-20.37850473852877,-22.517055330320588,-18.23995414673695
SA_D,1020,dd,30,30,30,0.95,10000,-20.331568738778024,-22.418920593792414,-18.244216883763634
SA_D,1035,dd,30,30,30,0.95,10000,-20.331568738778024,-22.418920593792414,-18.244216883763634
SA_D,1050,dd,30,30,30,0.95,10000,-20.331568738778024,-22.418920593792414,-18.244216883763634
SA_D,1065,dd,30,30,30,0.95,10000,-20.331568738778024,-22.418920593792414,-18.244216883763634
SA_D,1080,dd,30,30,30,0.95,10000,-20.331568738778024,-22.418920593792414,-18.244216883763634
SA_D,1095,dd,30,30,30,0.95,10000,-20.331568738778024,-22.418920593792414,-18.244216883763634
SA_D,1110,dd,30,30,30,0.95,10000,-20.331568738778024,-22.418920593792414,-18.244216883763634
SA_D,1125,dd,30,30,30,0.95,10000,-20.331568738778024,-22.418920593792414,-18.244216883763634
SA_D,1140,dd,30,30,30,0.95,10000,-20.331568738778024,-22.418920593792414,-18.244216883763634
SA_D,1155,dd,30,30,30,0.95,10000,-20.331568738778024,-22.418920593792414,-18.244216883763634
SA_D,1170,dd,30,30,30,0.95,10000,-20.331568738778024,-22.418920593792414,-18.244216883763634
SA_D,1185,dd,30,30,30,0.95,10000,-20.331568738778024,-22.418920593792414,-18.244216883763634
SA_D,1200,dd,30,30,30,0.95,10000,-20.331568738778024,-22.418920593792414,-18.244216883763634
SA_D,15,dd,10,10,30,0.95,10000,-20.20472104980864,-32.88641983921141,-7.523022260405865
SA_D,30,dd,10,10,30,0.95,10000,-18.397382002172495,-31.57230385619578,-5.222460148149212
SA_D,45,dd,10,10,30,0.95,10000,-17.339480425938742,-31.203894172126894,-3.47506667975059
SA_D,60,dd,10,10,30,0.95,10000,-16.687994211008267,-30.596920857311503,-2.7790675647050325
SA_D,75,dd,10,10,30,0.95,10000,-15.745130426329668,-31.038601842950573,-0.45165900970876294
SA_D,90,dd,10,10,30,0.95,10000,-15.745130426329668,-31.038601842950573,-0.45165900970876294
SA_D,105,dd,10,10,30,0.95,10000,-15.745130426329668,-31.038601842950573,-0.45165900970876294
SA_D,120,dd,10,10,30,0.95,10000,-15.309336789268835,-30.02049218867417,-0.5981813898635
SA_D,135,dd,10,10,30,0.95,10000,-15.309336789268835,-30.02049218867417,-0.5981813898635
SA_D,150,dd,10,10,30,0.95,10000,-15.309336789268835,-30.02049218867417,-0.5981813898635
SA_D,165,dd,10,10,30,0.95,10000,-15.309336789268835,-30.02049218867417,-0.5981813898635
SA_D,180,dd,10,10,30,0.95,10000,-15.309336789268835,-30.02049218867417,-0.5981813898635
SA_D,195,dd,10,10,30,0.95,10000,-15.202377792229663,-29.828205562023676,-0.5765500224356526
SA_D,210,dd,10,10,30,0.95,10000,-15.202377792229663,-29.828205562023676,-0.5765500224356526
SA_D,225,dd,10,10,30,0.95,10000,-14.84512733551289,-29.224464052999224,-0.4657906180265545
SA_D,240,dd,10,10,30,0.95,10000,-14.776860757060948,-29.0587069168762,-0.49501459724569585
SA_D,255,dd,10,10,30,0.95,10000,-14.776860757060948,-29.0587069168762,-0.49501459724569585
SA_D,270,dd,10,10,30,0.95,10000,-14.518462137799643,-28.56955449135598,-0.46736978424330644
SA_D,285,dd,10,10,30,0.95,10000,-14.518462137799643,-28.56955449135598,-0.46736978424330644
SA_D,300,dd,10,10,30,0.95,10000,-14.518462137799643,-28.56955449135598,-0.46736978424330644
SA_D,315,dd,10,10,30,0.95,10000,-14.518462137799643,-28.56955449135598,-0.46736978424330644
SA_D,330,dd,10,10,30,0.95,10000,-14.518462137799643,-28.56955449135598,-0.46736978424330644
